rank,channel,importance,importance_std,normalized_importance
1,CPz,0.10385696589946747,0.05107073113322258,0.058879826217889786
2,FC1,0.09995168447494507,0.05616794526576996,0.056665800511837006
3,Cz,0.09570261090993881,0.04113742336630821,0.0542568638920784
4,CP4,0.09406424313783646,0.0674596056342125,0.0533280223608017
5,CP2,0.09282957017421722,0.04815542697906494,0.052628044039011
6,P1,0.0899052768945694,0.057962361723184586,0.0509701706469059
7,CP3,0.08590492606163025,0.05087065324187279,0.04870224371552467
8,FC4,0.08525678515434265,0.039884649217128754,0.048334792256355286
9,FC2,0.08277851343154907,0.04651468247175217,0.04692978039383888
10,C2,0.08246229588985443,0.04272983968257904,0.046750508248806
11,FCz,0.08200597763061523,0.04389287158846855,0.04649180546402931
12,Fz,0.0796990692615509,0.050428930670022964,0.0451839454472065
13,C3,0.07628203928470612,0.03934422507882118,0.04324672371149063
14,P2,0.07513262331485748,0.04643725976347923,0.04259508103132248
15,C5,0.07462751865386963,0.03806409612298012,0.04230872169137001
16,C4,0.07405870407819748,0.03066145069897175,0.041986241936683655
17,C6,0.0677901953458786,0.04312984645366669,0.03843242675065994
18,FC3,0.06753980368375778,0.04570365324616432,0.03829047083854675
19,CP1,0.0661851167678833,0.04040485993027687,0.03752245381474495
20,C1,0.06537960469722748,0.045722100883722305,0.0370657853782177
21,POz,0.06137808412313461,0.041664499789476395,0.034797195345163345
22,Pz,0.06108860671520233,0.05329466983675957,0.034633081406354904
