rank,channel,importance,importance_std,normalized_importance
1,CP3,0.12298743426799774,0.08364801108837128,0.06979651749134064
2,CP4,0.1181311160326004,0.09342050552368164,0.06704051047563553
3,CPz,0.10672248899936676,0.07942171394824982,0.0605660080909729
4,P1,0.09936102479696274,0.05169203504920006,0.056388307362794876
5,FC1,0.09764236211776733,0.05118066817522049,0.05541295185685158
6,CP2,0.0878468006849289,0.05887821689248085,0.04985387995839119
7,Cz,0.08291995525360107,0.055372387170791626,0.047057848423719406
8,Fz,0.08265993744134903,0.03770136833190918,0.04691028594970703
9,C2,0.08009389042854309,0.04075942188501358,0.045454028993844986
10,C5,0.0772315114736557,0.056076668202877045,0.04382960498332977
11,C4,0.07360303401947021,0.044044703245162964,0.04177040979266167
12,FC3,0.07120894640684128,0.056921448558568954,0.04041174054145813
13,POz,0.07094602286815643,0.042143359780311584,0.040262531489133835
14,FCz,0.0704154223203659,0.03780180215835571,0.03996140882372856
15,C1,0.06993348896503448,0.04596485570073128,0.03968790918588638
16,P2,0.06990291178226471,0.048540178686380386,0.03967055305838585
17,Pz,0.06695861369371414,0.05254553630948067,0.03799963742494583
18,C3,0.06542828679084778,0.03584068641066551,0.037131164222955704
19,FC2,0.06472360342741013,0.03899216279387474,0.03673125058412552
20,C6,0.06279357522726059,0.04499397426843643,0.03563594073057175
21,CP1,0.061437033116817474,0.042628683149814606,0.0348660908639431
22,FC4,0.059138040989637375,0.05636870488524437,0.03356138989329338
